Canonical_smiles,InChI_Key
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@H]1c1cccc([N+](=O)[O-])c1,PVHUJELLJLJGLN-MRXNPFEDSA-N
CN(C)CCC=C1c2ccccc2CCc2ccccc21,KRMDCWKBEZIMAB-UHFFFAOYSA-N
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,IYIKLHRQXLHMJQ-UHFFFAOYSA-N
CC(c1ccc(C#N)cc1)N1CC(C(=O)C2CCC[C@H]2C#N)[C@@H](N)C1,JCGAMUKFIGRQFG-BMRFCAOMSA-N
c1c[nH]c(-c2ccc(OCCCN3CCCCC3)cc2)n1,FHBHXTHCXKMLDG-UHFFFAOYSA-N
CN(C)CCC=C1c2ccccc2CCc2ccccc21,KRMDCWKBEZIMAB-UHFFFAOYSA-N
O=C1N(Cc2ccccc2)[C@@H]2[C@H]3CCC[S+]3C[C@@H]2N1Cc1ccccc1,CHQOEHPMXSHGCL-NNVGYOCASA-N
C[C@@H]([C@@H](O)c1ccc2c(c1)CCC(O)N2)N1CCC(O)(c2ccccc2)CC1,LJMDQOSAVJNIPL-GWGYHSHPSA-N
C[C@H]([C@H](O)c1ccc2c(c1)CCC(=O)N2)N1CCC(O)(c2cccc(F)c2)CC1,RRFPMVCMACNLJQ-QRQCRPRQSA-N
C=C1COc2cc3c(cc2N1C(C)=O)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,ICGFKYFEMYDRJY-UHFFFAOYSA-N
CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,APIXJSLKIYYUKG-UHFFFAOYSA-N
Cc1ccc2c(N3CCN(CCc4cccc5c4ccc(=O)n5C)[C@H](C)C3)cc(F)cc2n1,UFYNVMLPCYILNZ-LJQANCHMSA-N
Cc1ccc2c(N3CCN(CCc4cccc5c4OCC(=O)N5C)[C@H](C)C3)cccc2n1,WNZKLSJSPOZSAM-LJQANCHMSA-N
Cc1nc2ncccc2cc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,VLKAMDZYTNJHHG-QGZVFWFLSA-N
Cc1nc(C)c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cc1C(N)=O,CPBHHACTFPYERR-OAHLLOKOSA-N
C[C@@H]1CCCN1CCc1ccc2nc(-c3cn4c(n3)SCC4)ccc2c1,UWCNFUQEKWPTHW-OAHLLOKOSA-N
C[C@@H]1CCCN1CCc1ccc2nc(-c3cnc4c(c3)OCO4)ccc2c1,GGPUVZHICLSIOX-OAHLLOKOSA-N
C[C@@H]1CCCN1CCc1ccc2nc(-c3ccn[nH]3)ccc2c1,MNBLFGKPLGBLBJ-CQSZACIVSA-N
