"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL492491";"FENVALERATE";"BELMARK|FENVALERATE|PHENVALERATE|PYDRIN|S-5602|SD-43775|SUMICIDIN|TIRADE|WL-43775";"Small molecule";"-1.0";"419.91";"11";"140";"6.68";"59.32";"4";"0";"1";"7";"N";"0.40";"10.64";"None";"6.61";"6.61";"3";"MOL";"0";"30";"4";"0";"1";"419.1288";"-0.52";"NEUTRAL";"C25H22ClNO3";"CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1";"NYPJDWWKZLNGGM-UHFFFAOYSA-N"
"CHEMBL2105899";"BAMIFYLLINE HYDROCHLORIDE";"8102 CB|8102-CB|AC 3810|AC-3810|BAMIFYLLINE HCL|BAMIFYLLINE HYDROCHLORIDE|BAX 2739Z|BAX-2739Z";"Small molecule";"-1.0";"421.93";"1";"4";"0.34";"85.29";"8";"1";"0";"8";"N";"0.60";"None";"8.70";"1.10";"-0.22";"3";"MOL";"0";"28";"8";"1";"0";"385.2114";"-1.47";"BASE";"C20H28ClN5O3";"CCN(CCO)CCn1c(Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C.Cl";"PDBXHPORMXSXKO-UHFFFAOYSA-N"
"CHEMBL2103777";"THIOPHANATE";"NSC-170810|THIOPHANATE";"Small molecule";"-1.0";"370.46";"3";"3";"2.57";"100.72";"6";"4";"0";"4";"N";"0.60";"7.79";"None";"3.49";"3.33";"1";"MOL";"0";"24";"8";"4";"0";"370.0769";"-1.06";"NEUTRAL";"C14H18N4O4S2";"CCOC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OCC";"YFNCATAIYKQPOO-UHFFFAOYSA-N"
"CHEMBL2104213";"DESMENINOL";"DESMENINOL|METHIONINE HYDROXY ANALOG";"Small molecule";"-1.0";"150.20";"1";"1";"0.18";"57.53";"3";"2";"0";"4";"N";"0.60";"4.03";"None";"0.18";"-2.96";"0";"MOL";"0";"9";"3";"2";"0";"150.0351";"0.32";"ACID";"C5H10O3S";"CSCCC(O)C(=O)O";"ONFOSYPQQXJWGS-UHFFFAOYSA-N"
"CHEMBL1904952";"QUAZODINE";"MJ 1988|MJ-1988|QUAZODINE";"Small molecule";"-1.0";"218.26";"3";"3";"2.21";"44.24";"4";"0";"0";"3";"N";"0.79";"None";"3.67";"1.94";"1.94";"2";"MOL";"0";"16";"4";"0";"0";"218.1055";"-0.45";"NEUTRAL";"C12H14N2O2";"CCc1ncnc2cc(OC)c(OC)cc12";"STAYVYIMUXVGBN-UHFFFAOYSA-N"
"CHEMBL2105174";"NICTINDOLE";"L 8027|L-8027|NICTINDOLE";"Small molecule";"-1.0";"264.33";"";"";"3.92";"45.75";"2";"1";"0";"3";"N";"0.73";"13.34";"3.71";"3.40";"3.40";"3";"MOL";"0";"20";"3";"1";"0";"264.1263";"-0.32";"NEUTRAL";"C17H16N2O";"CC(C)c1[nH]c2ccccc2c1C(=O)c1cccnc1";"SOOXXPIIPHUERK-UHFFFAOYSA-N"
"CHEMBL2104678";"AZINTAMIDE";"AZINTAMIDE|AZINTHIAMIDE|COLERIN|NSC-291837|ST 9067|ST-9067";"Small molecule";"-1.0";"259.76";"";"";"2.09";"46.09";"4";"0";"0";"5";"N";"0.76";"None";"None";"1.34";"1.34";"1";"MOL";"0";"16";"4";"0";"0";"259.0546";"-2.45";"NEUTRAL";"C10H14ClN3OS";"CCN(CC)C(=O)CSc1ccc(Cl)nn1";"SSLKKMZJCJBOML-UHFFFAOYSA-N"
"CHEMBL2106893";"METHOXYPHEDRINE";"4-METHOXYMETHCATHINONE|J6.703B|METHEDRONE|METHOPHEDRINE|METHOXYPHEDRINE";"Small molecule";"-1.0";"193.25";"";"";"1.49";"38.33";"3";"1";"0";"4";"N";"0.74";"None";"8.01";"1.45";"0.74";"1";"MOL";"0";"14";"3";"1";"0";"193.1103";"-0.14";"NEUTRAL";"C11H15NO2";"CNC(C)C(=O)c1ccc(OC)cc1";"MQUIHBQDYYAEMH-UHFFFAOYSA-N"
"CHEMBL1256351";"FENCLONINE";"CP-10,188|CP-10188|FENCLONINE|NSC-77370|P-CHLOROPHENYLALANINE, DL-";"Small molecule";"-1.0";"199.64";"12";"22";"1.29";"63.32";"2";"2";"0";"3";"N";"0.77";"1.85";"9.44";"-0.58";"-0.58";"1";"MOL";"0";"13";"3";"3";"0";"199.0400";"0.03";"ZWITTERION";"C9H10ClNO2";"NC(Cc1ccc(Cl)cc1)C(=O)O";"NIGWMJHCCYYCSF-UHFFFAOYSA-N"
"CHEMBL1256871";"SOBUZOXANE";"SOBUZOXANE";"Small molecule";"-1.0";"514.53";"28";"45";"-0.14";"152.30";"12";"0";"2";"11";"N";"0.27";"None";"3.01";"0.83";"0.83";"0";"MOL";"0";"36";"14";"0";"2";"514.2275";"-0.40";"NEUTRAL";"C22H34N4O10";"CC(C)COC(=O)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O";"OCOKWVBYZHBHLU-UHFFFAOYSA-N"
